Code,Metro,Class,Population,2010 males,2010 Males pct,2010 females,2010 female pct,2010 Sex ratio1,2010 Total population,2000 males,2000 male pct,2000 female pct,2000 female pct,2000 Sex ratio1,2010 median age,2010 Under 18 years,2010 18 to 24 years,2010 25 to 34 years,010 35 to 44 years,2010 45 to 54 years,55 to 64 years,2010 65 to 74 years,2010 75 years and over,2010 Median,2000 Under 18 years,2000 18 to 24 years,2000 25 to 34 years,2000 35 to 44 years,2000 45 to 54 years,2000 55 to 64 years,2000 65 to 74 years,2000 75 years and over
16020,"Cape Girardeau-Jackson, MO-IL",Metropolitan Statistical Area,96275.00,46981.00,48.80,49294.00,51.20,95.31,90312.00,43842.00,48.50,46470.00,51.50,94.30,37.60,21401.00,12259.00,11716.00,11268.00,13556.00,11785.00,7435.00,6855.00,35.90,21724.00,10876.00,11501.00,13338.00,11969.00,8041.00,6466.00,6397.00
16180,"Carson City, NV",Metropolitan Statistical Area,55274.00,28688.00,51.90,26586.00,48.10,107.91,52457.00,27102.00,51.70,25355.00,48.30,106.90,41.70,11815.00,4675.00,6627.00,6991.00,8428.00,7605.00,4824.00,4309.00,38.70,12271.00,4128.00,6766.00,8370.00,7724.00,5361.00,4096.00,3741.00
16220,"Casper, WY",Metropolitan Statistical Area,75450.00,37982.00,50.30,37468.00,49.70,101.37,66533.00,32872.00,49.40,33661.00,50.60,97.70,36.80,18020.00,7263.00,10747.00,9132.00,11322.00,9574.00,4805.00,4587.00,36.40,17300.00,6719.00,8033.00,10529.00,9794.00,5734.00,4719.00,3705.00
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,257940.00,127690.00,49.50,130250.00,50.50,98.03,237230.00,117175.00,49.40,120055.00,50.60,97.60,37.50,63119.00,23741.00,34256.00,33592.00,37927.00,30246.00,18109.00,16950.00,35.70,60220.00,22689.00,32979.00,38303.00,32013.00,20460.00,15364.00,15202.00
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,231891.00,115515.00,49.80,116376.00,50.20,99.26,210275.00,105115.00,50.00,105160.00,50.00,100.00,30.30,46433.00,49837.00,33486.00,24998.00,28249.00,23476.00,12952.00,12460.00,30.00,45605.00,43536.00,29713.00,29163.00,24569.00,14926.00,11670.00,11093.00
16620,"Charleston, WV",Metropolitan Statistical Area,304284.00,147680.00,48.50,156604.00,51.50,94.30,309635.00,149019.00,48.10,160616.00,51.90,92.80,41.80,65632.00,22742.00,36859.00,39194.00,46913.00,44406.00,26344.00,22194.00,39.30,69297.00,26024.00,39731.00,48613.00,48069.00,31122.00,25206.00,21573.00
16700,"Charleston-North Charleston-Summerville, SC",Metropolitan Statistical Area,664607.00,324981.00,48.90,339626.00,51.10,95.69,549033.00,269433.00,49.10,279600.00,50.90,96.40,35.40,154646.00,73459.00,100417.00,87386.00,93733.00,78602.00,45128.00,31236.00,33.90,141342.00,61446.00,80723.00,88362.00,73307.00,46943.00,32005.00,24905.00
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Metropolitan Statistical Area,1758038.00,854016.00,48.60,904022.00,51.40,94.47,1330448.00,652014.00,49.00,678434.00,51.00,96.10,35.40,455950.00,157120.00,254321.00,276139.00,252313.00,184745.00,101863.00,75587.00,34.10,339321.00,121449.00,225665.00,228312.00,178291.00,106676.00,71777.00,58957.00
16820,"Charlottesville, VA",Metropolitan Statistical Area,201559.00,96526.00,47.90,105033.00,52.10,91.90,174021.00,82919.00,47.60,91102.00,52.40,91.00,36.70,41160.00,28249.00,27462.00,24425.00,28271.00,24496.00,15026.00,12470.00,35.00,38547.00,24183.00,24241.00,26955.00,23653.00,15269.00,11734.00,9439.00
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,528143.00,255784.00,48.40,272359.00,51.60,93.91,476531.00,229356.00,48.10,247175.00,51.90,92.80,39.40,117874.00,50350.00,66123.00,69445.00,77604.00,69284.00,42755.00,34708.00,37.20,113313.00,44343.00,64842.00,74067.00,69105.00,46692.00,35119.00,29050.00
16940,"Cheyenne, WY",Metropolitan Statistical Area,91738.00,45875.00,50.00,45863.00,50.00,100.03,81607.00,40986.00,50.20,40621.00,49.80,100.90,37.00,22401.00,8916.00,12355.00,11391.00,13554.00,11616.00,6441.00,5064.00,35.30,21023.00,7804.00,11617.00,13277.00,11489.00,7046.00,5013.00,4338.00
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Metropolitan Statistical Area,9461105.00,4622870.00,48.90,4838235.00,51.10,95.55,9098316.00,4449377.00,48.90,4648939.00,51.10,95.70,35.80,2377810.00,889096.00,1364655.00,1320212.00,1378201.00,1051238.00,578996.00,500897.00,33.90,2447345.00,862982.00,1395717.00,1480471.00,1186461.00,734853.00,520215.00,470272.00
17020,"Chico, CA",Metropolitan Statistical Area,220000.00,108931.00,49.50,111069.00,50.50,98.08,203171.00,99546.00,49.00,103625.00,51.00,96.10,37.20,46168.00,32250.00,26681.00,23329.00,28877.00,28878.00,17185.00,16632.00,35.80,48767.00,27732.00,23087.00,27249.00,26809.00,17471.00,15207.00,16849.00
17140,"Cincinnati-Middletown, OH-KY-IN",Metropolitan Statistical Area,2130151.00,1041528.00,48.90,1088623.00,51.10,95.67,2009632.00,976125.00,48.60,1033507.00,51.40,94.40,37.20,531378.00,202591.00,274269.00,283738.00,325247.00,252749.00,139716.00,120463.00,35.00,532241.00,190336.00,282547.00,332893.00,270741.00,165758.00,126335.00,108781.00
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,273949.00,135630.00,49.50,138319.00,50.50,98.06,232000.00,117427.00,50.60,114573.00,49.40,102.50,30.70,75563.00,33758.00,44413.00,35131.00,33467.00,25283.00,15316.00,11018.00,30.10,64634.00,29753.00,40056.00,34784.00,24668.00,16620.00,12207.00,9278.00
